user_id,sign_up_date,gender,marital_status,children_status,home_country,home_city,home_airport,destination,destination_airport,page_clicks,base_fare_usd,home_airport_lat,home_airport_lon,destination_airport_lat,destination_airport_lon,check_in_time,check_out_time,age,avg_session_length,num_sessions,total_flights_booked,total_hotels_booked,total_return_flights_booked,total_checked_bags,cancellations,total_flight_discounts,total_hotel_discounts,total_rooms_booked
94883,2022-02-07,F,Married,Has no children,usa,kansas city,MCI,toronto,YZD,73,623.17,39.297,-94.714,43.862,-79.37,2023-04-16 13:55:13,2023-04-17 11:00:00,52,1.1,8,2,2,2.0,1,0,0.0,1.0,3.0
101486,2022-02-17,F,Married,Has children,usa,tacoma,TCM,edmonton,YED,131,189.91,47.138,-122.476,53.667,-113.467,2023-06-24 11:00:00,2023-06-29 11:00:00,51,2.0,8,1,2,1.0,0,0,2.0,0.0,3.0
101961,2022-02-17,F,Married,Has no children,usa,boston,BOS,seattle,YHU,126,769.5,42.364,-71.005,47.53,-73.417,2023-06-27 14:27:47,2023-07-05 11:00:00,43,2.0,8,5,5,5.0,2,0,2.0,1.0,5.0
106907,2022-02-24,F,Married,Has children,usa,miami,TNT,durban,DUR,240,13902.06,25.862,-80.897,-29.97,30.95,2024-01-17 09:45:10,2024-01-28 11:00:00,45,12.6,8,2,2,2.0,10,1,1.0,1.0,6.0
118043,2022-03-10,F,Unmarried,Has children,usa,los angeles,LAX,new york,LGA,164,1175.66,33.942,-118.408,40.64,-73.779,2023-07-19 11:00:00,2023-07-27 11:00:00,52,2.6,8,3,4,3.0,3,0,2.0,3.0,5.0
120851,2022-03-13,F,Married,Has children,usa,santa ana,SNA,edmonton,YXD,55,384.68,33.676,-117.868,53.667,-113.467,2023-04-15 11:48:44,2023-04-26 11:00:00,51,0.9,8,1,1,1.0,0,0,2.0,0.0,1.0
125845,2022-03-19,F,Married,Has no children,usa,el paso,BIF,ottawa,YOW,159,710.38,31.849,-106.38,45.323,-73.779,2023-06-13 20:49:39,2023-06-15 11:00:00,40,2.2,9,3,3,3.0,2,0,1.0,1.0,4.0
149058,2022-04-14,F,Unmarried,Has children,usa,birmingham,BHM,san antonio,YYC,142,579.32,33.563,-86.753,51.114,-73.779,2023-04-20 12:22:12,2023-04-28 11:00:00,51,2.2,8,5,5,5.0,2,0,1.0,0.0,6.0
152583,2022-04-17,F,Unmarried,Has no children,usa,colorado springs,COS,toronto,YYZ,149,367.83,38.806,-104.7,43.862,-79.37,2023-06-14 18:43:24,2023-06-17 11:00:00,38,2.3,8,1,1,1.0,2,0,1.0,1.0,1.0
153982,2022-04-19,F,Unmarried,Has children,canada,toronto,YKZ,new york,YYC,150,451.28,43.862,-79.37,51.114,-73.779,2023-07-31 13:42:34,2023-08-03 11:00:00,46,2.3,8,3,3,3.0,1,0,0.0,1.0,3.0
160754,2022-04-26,F,Married,Has children,usa,new york,LGA,ottawa,YOW,86,93.62,40.777,-73.872,45.323,-75.669,2023-07-08 16:39:27,2023-07-11 11:00:00,46,1.3,8,1,1,1.0,1,0,0.0,0.0,1.0
164522,2022-04-30,F,Married,Has no children,usa,kansas city,MCI,new york,JFK,89,328.32,39.297,-94.714,40.64,-73.779,2023-02-17 19:13:57,2023-03-03 11:00:00,48,1.4,8,1,1,1.0,1,0,2.0,1.0,1.0
174997,2022-05-10,F,Unmarried,Has no children,usa,grand rapids,GRR,warsaw,WAW,252,2636.06,42.881,-85.523,52.166,20.967,2023-03-14 11:16:29,2023-03-16 11:00:00,32,16.5,8,3,3,3.0,1,1,1.0,3.0,2.0
175032,2022-05-10,F,Unmarried,Has no children,usa,houston,IAH,memphis,MEM,127,957.59,29.98,-95.34,36.08,-89.977,2023-07-31 11:00:00,2023-08-08 11:00:00,29,1.7,9,2,3,2.0,1,0,1.0,2.0,6.0
181157,2022-05-15,F,Married,Has no children,usa,houston,HOU,oklahoma city,OKC,153,536.03,29.645,-95.279,35.393,-97.601,2023-04-03 15:47:25,2023-04-06 11:00:00,54,2.4,8,3,3,3.0,3,0,2.0,1.0,6.0
187212,2022-05-21,F,Married,Has children,usa,los angeles,LAX,winnipeg,YAV,128,722.46,33.942,-118.408,50.056,-73.779,2023-03-11 18:07:24,2023-03-16 11:00:00,55,2.0,8,3,3,3.0,2,0,1.0,1.0,3.0
189676,2022-05-23,F,Unmarried,Has children,usa,fort worth,FTW,san jose,SJC,93,1244.31,32.82,-97.362,37.362,-121.929,2023-05-08 12:51:20,2023-05-14 11:00:00,36,1.4,8,1,2,1.0,2,0,1.0,0.0,4.0
190866,2022-05-24,F,Unmarried,Has no children,usa,tallahassee,TLH,toronto,YZD,186,727.28,30.396,-84.35,45.589,-79.37,2023-07-12 18:37:59,2023-07-14 11:00:00,37,2.6,9,5,5,5.0,2,0,0.0,1.0,5.0
195192,2022-05-28,F,Unmarried,Has no children,usa,chicago,MDW,new york,LGA,225,394.29,41.786,-87.752,40.64,-73.779,2023-05-01 10:28:04,2023-05-02 11:00:00,28,3.5,8,1,1,1.0,0,0,1.0,1.0,2.0
204943,2022-06-06,M,Unmarried,Has no children,canada,ottawa,YOW,vancouver,YVR,292,1394.39,45.323,-75.669,49.195,-73.779,2023-12-30 12:18:09,2024-01-17 11:00:00,41,17.4,8,7,7,7.0,9,1,3.0,1.0,10.0
204997,2022-06-06,F,Married,Has no children,usa,kansas city,MCI,new york,JFK,439,3500.64,39.297,-94.714,40.64,30.792,2023-07-19 18:56:52,2023-07-24 11:00:00,39,23.3,8,5,4,5.0,3,2,3.0,4.0,6.0
205044,2022-06-06,F,Married,Has children,canada,toronto,YKZ,philadelphia,PHL,134,1971.19,43.862,-79.37,39.872,-75.241,2023-05-11 09:41:59,2023-05-15 11:00:00,41,1.8,9,3,3,3.0,1,0,1.0,0.0,6.0
206011,2022-06-07,F,Unmarried,Has children,usa,kansas city,MCI,san jose,SJI,156,436.36,39.297,-94.714,41.786,-86.294,2023-05-09 12:58:05,2023-05-10 11:00:00,40,2.4,8,4,3,4.0,1,0,1.0,2.0,3.0
216796,2022-06-16,F,Unmarried,Has no children,usa,cincinnati,CVG,barcelona,BCN,125,2500.87,39.046,-84.662,41.297,2.078,2023-09-22 17:48:06,2023-10-03 11:00:00,23,8.2,8,2,2,2.0,4,1,4.0,2.0,2.0
217136,2022-06-17,F,Unmarried,Has children,usa,little rock,LIT,seattle,BFI,106,539.57,34.729,-92.224,47.53,-122.302,2023-03-30 11:00:00,2023-04-02 11:00:00,39,1.7,8,1,2,1.0,0,0,2.0,0.0,2.0
220725,2022-06-20,F,Unmarried,Has no children,usa,stockton,SCK,san antonio,UGN,316,719.21,37.894,-121.239,41.786,-73.779,2023-06-12 14:54:27,2023-06-17 11:00:00,41,15.8,9,5,4,5.0,1,1,2.0,2.0,4.0
224996,2022-06-23,F,Unmarried,Has children,canada,halifax,YHZ,new york,YYC,102,728.23,44.881,-63.509,51.114,-73.779,2023-05-20 18:12:04,2023-05-21 11:00:00,43,1.6,8,2,1,2.0,0,0,0.0,1.0,1.0
226367,2022-06-25,F,Unmarried,Has no children,usa,washington,IAD,new york,ORD,114,621.31,38.944,-77.456,41.786,-73.779,2023-07-05 17:09:31,2023-07-07 11:00:00,43,1.8,8,3,3,3.0,2,0,1.0,0.0,4.0
228872,2022-06-27,M,Unmarried,Has no children,usa,san antonio,RND,portland,PDX,126,509.21,29.529,-98.279,45.589,-122.597,2023-07-23 11:00:00,2023-07-31 11:00:00,35,2.0,8,1,2,1.0,1,0,1.0,0.0,2.0
