user_id,sign_up_date,gender,marital_status,children_status,home_country,home_city,home_airport,destination,destination_airport,page_clicks,base_fare_usd,home_airport_lat,home_airport_lon,destination_airport_lat,destination_airport_lon,check_in_time,check_out_time,age,avg_session_length,num_sessions,total_flights_booked,total_hotels_booked,total_return_flights_booked,total_checked_bags,cancellations,total_flight_discounts,total_hotel_discounts,total_rooms_booked,Avg_checked_bags,Avg_flight_discount_amount,Avg_base_fare,Avg_hotel_discount_amount,Avg_page_clicks,cancellations_ratio,Avg_flights_booked,Avg_hotels_booked,length_of_stay,flight_distance_km,dollars_saved,ADS,scaled_ADS,discount_flight_proportion,scaled_distance,ADS_per_km,bargain_hunter_index,Clusters,Perks,free_checked_bags_index,free_checked_bags,free_hotel_meals_index,free_hotel_meals,no_cancellation_fee_index,no_cancellation_fee,one_night_free_hotel_index,one_night_free_hotel,Exclusive_Discount,min_rank,preferred_perk
94883,07/02/2022,F,Married,Has no children,usa,kansas city,MCI,toronto,YZD,73,623.17,39.297,-94.714,43.862,-79.37,16/04/2023 13:55,17/04/2023 11:00,52,1.1,8,2,2,2,1,0,0,1,3,1,0,623.17,1,73,0,2,2,0,1370.895497,0,0,0,0,0.085236092,0,1.1,1,['One night free hotel with flight'],1371.895497,1520,5,1564,73,2293,2,1994,2376,1520,Free Checked Bags
101486,17/02/2022,F,Married,Has children,usa,tacoma,TCM,edmonton,YED,131,189.91,47.138,-122.476,53.667,-113.467,24/06/2023 11:00,29/06/2023 11:00,51,2,8,1,2,1,0,0,2,0,3,0,0.333333333,189.91,0,131,0,1,2,5,965.3405679,379.82,379.82,0.016368611,0,0.05976455,0.001867876,381.82,1,['One night free hotel with flight'],965.3405679,1821,10,505,131,681,6,646,1464,505,Free Hotel Meals
101961,17/02/2022,F,Married,Has no children,usa,boston,BOS,seattle,YHU,126,769.5,42.364,-71.005,47.53,-73.417,27/06/2023 14:27,05/07/2023 11:00,43,2,8,5,5,5,2,0,2,1,5,2,0.333333333,769.5,1,126,0,5,5,7,604.9015797,1539,1539,0.066324293,0,0.037126588,0.012183369,1541.333333,0,['Free checked bags'],606.9015797,1756,17,199,126,1518,12,167,368,167,One Night Free Hotel
106907,24/02/2022,F,Married,Has children,usa,miami,TNT,durban,DUR,240,5801.041898,25.862,-80.897,-29.97,30.95,17/01/2024 09:45,28/01/2024 11:00,45,12.6,8,2,2,2,10,1,1,1,6,10,0.166666667,5801.041898,1,240,1,2,2,11,13402.32308,5801.041898,5801.041898,0.25,0,0.840889629,0.002027593,5813.808565,3,['Free hotel meals'],13412.32308,11,19,24,241,44,13,39,105,11,Free Checked Bags
118043,10/03/2022,F,Unmarried,Has children,usa,los angeles,LAX,new york,LGA,164,1175.66,33.942,-118.408,40.64,-73.779,19/07/2023 11:00,27/07/2023 11:00,52,2.6,8,3,4,3,3,0,2,3,5,3,0.333333333,1175.66,3,164,0,3,4,8,3974.209843,2351.32,2351.32,0.101331797,0,0.248741518,0.002778288,2354.92,0,['Free checked bags'],3977.209843,140,17,200,164,579,11,216,163,140,Free Checked Bags
120851,13/03/2022,F,Married,Has children,usa,santa ana,SNA,edmonton,YXD,55,384.68,33.676,-117.868,53.667,-113.467,15/04/2023 11:48,26/04/2023 11:00,51,0.9,8,1,1,1,0,0,2,0,1,0,0.333333333,384.68,0,55,0,1,1,10,2249.833872,769.36,769.36,0.033156113,0,0.140439258,0.001610108,770.26,1,['One night free hotel with flight'],2249.833872,961,12,316,55,2383,11,198,834,198,One Night Free Hotel
125845,19/03/2022,F,Married,Has no children,usa,el paso,BIF,ottawa,YOW,159,710.38,31.849,-106.38,45.323,-73.779,13/06/2023 20:49,15/06/2023 11:00,40,2.2,9,3,3,3,2,0,1,1,4,2,0.166666667,710.38,1,159,0,3,3,1,3174.956495,710.38,710.38,0.030614328,0,0.198543101,0.001051598,712.7466667,0,['Free checked bags'],3176.956495,460,8,1559,159,707,4,1660,1028,460,Free Checked Bags
149058,14/04/2022,F,Unmarried,Has children,usa,birmingham,BHM,san antonio,YYC,142,579.32,33.563,-86.753,51.114,-73.779,20/04/2023 12:22,28/04/2023 11:00,51,2.2,8,5,5,5,2,0,1,0,6,2,0.166666667,579.32,0,142,0,5,5,7,2216.391213,579.32,579.32,0.024966205,0,0.138338837,0.001230802,581.52,0,['Free checked bags'],2218.391213,856,18,161,142,1082,12,168,1235,161,Free Hotel Meals
152583,17/04/2022,F,Unmarried,Has no children,usa,colorado springs,COS,toronto,YYZ,149,367.83,38.806,-104.7,43.862,-79.37,14/06/2023 18:43,17/06/2023 11:00,38,2.3,8,1,1,1,2,0,1,1,1,2,0.166666667,367.83,1,149,0,1,1,2,2178.789038,367.83,367.83,0.015851894,0,0.135977171,0.000795051,370.2966667,1,['One night free hotel with flight'],2180.789038,1016,4,1899,149,378,3,1564,1485,378,No Cancellation Fee
153982,19/04/2022,F,Unmarried,Has children,canada,toronto,YKZ,new york,YYC,150,451.28,43.862,-79.37,51.114,-73.779,31/07/2023 13:42,03/08/2023 11:00,46,2.3,8,3,3,3,1,0,0,1,3,1,0,451.28,1,150,0,3,3,2,908.6206167,0,0,0,0,0.05620216,0,2.3,0,['Free checked bags'],909.6206167,1550,8,1560,150,882,5,1285,1785,882,No Cancellation Fee
